image_path,Сезон,Материал подошвы,Материал верха,Цвет,Страна производства
images_shoes\image_2_MP002XM1HVQ7_15965346_3_v1.jpg,зима,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM1HVQ7_15965347_4_v1.jpg,зима,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM1HVQ7_15965348_5_v1.jpg,зима,термоэластопласт,натуральная кожа,коричневый,
images_shoes\image_0_RTLADQ792701_24141418_1_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_1_RTLADQ792701_24141419_2_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_2_RTLADQ792701_24141420_3_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_3_RTLADQ792701_24141421_4_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_4_RTLADQ792701_24141422_5_v1.jpg,мульти,резина,натуральная кожа,белый,
images_shoes\image_0_MP002XM1ZKES_12658705_1_v2.jpg,демисезон,термоэластопласт,искусственная кожа,зеленый,
images_shoes\image_1_MP002XM1ZKES_12658706_2_v1.jpg,демисезон,термоэластопласт,искусственная кожа,зеленый,
images_shoes\image_2_MP002XM1ZKES_12658707_3_v1.jpg,демисезон,термоэластопласт,искусственная кожа,зеленый,
images_shoes\image_3_MP002XM1ZKES_12658708_4_v1.jpg,демисезон,термоэластопласт,искусственная кожа,зеленый,
images_shoes\image_4_MP002XM1ZKES_12658709_5_v1.jpg,демисезон,термоэластопласт,искусственная кожа,зеленый,
images_shoes\image_0_RTLADA489301_21280931_1_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_1_RTLADA489301_21280932_2_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_2_RTLADA489301_21280933_3_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_3_RTLADA489301_21280934_4_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_4_RTLADA489301_21280935_5_v1.jpg,мульти,резина,искусственная кожа,черный,
images_shoes\image_0_MP002XM0BY07_25241658_1_v1.jpg,демисезон,этиленвинилацетат,"натуральная кожа, текстиль",хаки,
images_shoes\image_1_MP002XM0BY07_25241659_2_v1.jpg,демисезон,этиленвинилацетат,"натуральная кожа, текстиль",хаки,
images_shoes\image_2_MP002XM0BY07_25241660_3_v1.jpg,демисезон,этиленвинилацетат,"натуральная кожа, текстиль",хаки,
images_shoes\image_3_MP002XM0BY07_25241661_4_v1.jpg,демисезон,этиленвинилацетат,"натуральная кожа, текстиль",хаки,
images_shoes\image_4_MP002XM0BY07_25241662_5_v1.jpg,демисезон,этиленвинилацетат,"натуральная кожа, текстиль",хаки,
images_shoes\image_0_MP002XM1ZWEE_19559519_1_v2_2x.jpg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",серый,
images_shoes\image_1_MP002XM1ZWEE_19559511_2_v2_2x.jpg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",серый,
images_shoes\image_2_MP002XM1ZWEE_19559517_3_v2_2x.jpg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",серый,
images_shoes\image_3_MP002XM1ZWEE_19559525_4_v2_2x.jpg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",серый,
images_shoes\image_4_MP002XM1ZWEE_19559522_5_v2_2x.jpg,демисезон,термоэластопласт,"искусственная кожа, искусственный велюр, текстиль",серый,
images_shoes\image_0_RTLADN250001_23472706_1_v1.jpg,мульти,резина,натуральная кожа,бежевый,
images_shoes\image_1_RTLADN250001_23472707_2_v1.jpg,мульти,резина,натуральная кожа,бежевый,
images_shoes\image_2_RTLADN250001_23472708_3_v1.jpg,мульти,резина,натуральная кожа,бежевый,
images_shoes\image_3_RTLADN250001_23472709_4_v1.jpg,мульти,резина,натуральная кожа,бежевый,
images_shoes\image_4_RTLADN250001_23472710_5_v1.jpg,мульти,резина,натуральная кожа,бежевый,
images_shoes\image_0_RTLADS341701_24450290_1_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,
images_shoes\image_1_RTLADS341701_24450291_2_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,
images_shoes\image_2_RTLADS341701_24450292_3_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,
images_shoes\image_3_RTLADS341701_24450293_4_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,
images_shoes\image_4_RTLADS341701_24450294_5_v1.jpg,зима,термополиуретан,"искусственная кожа, текстиль",черный,
images_shoes\image_0_MP002XM255IV_21429783_1_v1.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, натуральная кожа, полиэстер",хаки,
images_shoes\image_1_MP002XM255IV_21429784_2_v1.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, натуральная кожа, полиэстер",хаки,
images_shoes\image_2_MP002XM255IV_21429785_3_v1.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, натуральная кожа, полиэстер",хаки,
images_shoes\image_3_MP002XM255IV_21429786_4_v1.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, натуральная кожа, полиэстер",хаки,
images_shoes\image_4_MP002XM255IV_21429787_5_v1.jpg,зима,"резина, этиленвинилацетат","искусственная кожа, натуральная кожа, полиэстер",хаки,
images_shoes\image_0_MP002XM0B4Y2_21091152_1_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_1_MP002XM0B4Y2_21091153_2_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_2_MP002XM0B4Y2_21091154_3_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_3_MP002XM0B4Y2_21091155_4_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_4_MP002XM0B4Y2_21091156_5_v1.jpg,мульти,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_0_MP002XM0BQ1Z_24843491_1_v1.jpg,демисезон,резина,натуральная кожа,коричневый,
images_shoes\image_1_MP002XM0BQ1Z_24843492_2_v1.jpg,демисезон,резина,натуральная кожа,коричневый,
images_shoes\image_2_MP002XM0BQ1Z_24843493_3_v1.jpg,демисезон,резина,натуральная кожа,коричневый,
images_shoes\image_3_MP002XM0BQ1Z_24843494_4_v1.jpg,демисезон,резина,натуральная кожа,коричневый,
images_shoes\image_4_MP002XM0BQ1Z_24843495_5_v1.jpg,демисезон,резина,натуральная кожа,коричневый,
images_shoes\image_0_RTLADE361001_25023094_1_v1.jpg,"демисезон, зима",Не указано,"натуральная кожа, текстиль",бежевый,
images_shoes\image_1_RTLADE361001_25023095_2_v1.jpg,"демисезон, зима",Не указано,"натуральная кожа, текстиль",бежевый,
images_shoes\image_2_RTLADE361001_25023096_3_v1.jpg,"демисезон, зима",Не указано,"натуральная кожа, текстиль",бежевый,
images_shoes\image_3_RTLADE361001_25023097_4_v1.jpg,"демисезон, зима",Не указано,"натуральная кожа, текстиль",бежевый,
images_shoes\image_4_RTLADE361001_25023098_5_v1.jpg,"демисезон, зима",Не указано,"натуральная кожа, текстиль",бежевый,
images_shoes\image_0_RTLACB065001_18171732_1_v1.jpg,демисезон,резина,"искусственная кожа, текстиль",хаки,
images_shoes\image_1_RTLACB065001_18171733_2_v1.jpg,демисезон,резина,"искусственная кожа, текстиль",хаки,
images_shoes\image_2_RTLACB065001_18171734_3_v1.jpg,демисезон,резина,"искусственная кожа, текстиль",хаки,
images_shoes\image_3_RTLACB065001_18171735_4_v1.jpg,демисезон,резина,"искусственная кожа, текстиль",хаки,
images_shoes\image_4_RTLACB065001_18171736_5_v1.jpg,демисезон,резина,"искусственная кожа, текстиль",хаки,
images_shoes\image_0_MP002XM0BSJT_24807076_1_v1.jpeg,мульти,"термопластичная резина, этиленвинилацетат",текстиль,черный,
images_shoes\image_1_MP002XM0BSJT_24807087_2_v1.jpeg,мульти,"термопластичная резина, этиленвинилацетат",текстиль,черный,
images_shoes\image_2_MP002XM0BSJT_24807093_3_v1.jpeg,мульти,"термопластичная резина, этиленвинилацетат",текстиль,черный,
images_shoes\image_3_MP002XM0BSJT_24807089_4_v1.jpeg,мульти,"термопластичная резина, этиленвинилацетат",текстиль,черный,
images_shoes\image_4_MP002XM0BSJT_24807085_5_v1.jpeg,мульти,"термопластичная резина, этиленвинилацетат",текстиль,черный,
images_shoes\image_5_MP002XM0BSJT_24807082_6_v1.jpeg,мульти,"термопластичная резина, этиленвинилацетат",текстиль,черный,
images_shoes\image_0_MP002XM0BQRP_24833388_1_v1.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_1_MP002XM0BQRP_24833389_2_v1.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_2_MP002XM0BQRP_24833390_3_v1.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_3_MP002XM0BQRP_24833391_4_v1.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_4_MP002XM0BQRP_24833392_5_v1.jpg,мульти,резина,натуральная кожа,черный,
images_shoes\image_0_RTLACY235801_21626294_1_v1.jpg,мульти,резина,искусственная кожа,белый,
images_shoes\image_1_RTLACY235801_21626295_2_v1.jpg,мульти,резина,искусственная кожа,белый,
images_shoes\image_2_RTLACY235801_21626296_3_v1.jpg,мульти,резина,искусственная кожа,белый,
images_shoes\image_3_RTLACY235801_21626297_4_v1.jpg,мульти,резина,искусственная кожа,белый,
images_shoes\image_4_RTLACY235801_21626298_5_v1.jpg,мульти,резина,искусственная кожа,белый,
images_shoes\image_0_MP002XM25CSV_24608113_1_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_1_MP002XM25CSV_24608114_2_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_2_MP002XM25CSV_24608115_3_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_3_MP002XM25CSV_24608116_4_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_4_MP002XM25CSV_24608117_5_v1.jpg,мульти,термоэластопласт,натуральная кожа,черный,
images_shoes\image_0_RTLADN622701_23973355_1_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_1_RTLADN622701_23973356_2_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_2_RTLADN622701_23973357_3_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_3_RTLADN622701_23973358_4_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_4_RTLADN622701_23973359_5_v1.jpg,мульти,резина,"искусственная кожа, текстиль",белый,
images_shoes\image_0_RTLACB065301_18171747_1_v1.jpg,демисезон,Не указано,Не указано,черный,
images_shoes\image_1_RTLACB065301_18171748_2_v1.jpg,демисезон,Не указано,Не указано,черный,
images_shoes\image_2_RTLACB065301_18171749_3_v1.jpg,демисезон,Не указано,Не указано,черный,
images_shoes\image_3_RTLACB065301_18171750_4_v1.jpg,демисезон,Не указано,Не указано,черный,
images_shoes\image_4_RTLACB065301_18171751_5_v1.jpg,демисезон,Не указано,Не указано,черный,
images_shoes\image_0_MP002XM0VOT2_23514316_1_v1.jpg,мульти,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_1_MP002XM0VOT2_23514317_2_v1.jpg,мульти,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_2_MP002XM0VOT2_23514318_3_v1.jpg,мульти,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_3_MP002XM0VOT2_23514319_4_v1.jpg,мульти,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_4_MP002XM0VOT2_23514320_5_v1.jpg,мульти,термопластичная резина,"искусственная кожа, текстиль",черный,
images_shoes\image_0_RTLABZ840601_18063859_1_v1.jpg,Не указано,термоэластопласт,натуральная замша,черный,
images_shoes\image_1_RTLABZ840601_18063860_2_v1.jpg,Не указано,термоэластопласт,натуральная замша,черный,
images_shoes\image_2_RTLABZ840601_18063861_3_v1.jpg,Не указано,термоэластопласт,натуральная замша,черный,
images_shoes\image_3_RTLABZ840601_18063862_4_v1.jpg,Не указано,термоэластопласт,натуральная замша,черный,
images_shoes\image_4_RTLABZ840601_18063863_5_v1.jpg,Не указано,термоэластопласт,натуральная замша,черный,
images_shoes\image_0_MP002XM0BUN7_25267606_1_v1.jpg,демисезон,полиуретан,натуральная замша,коричневый,
images_shoes\image_1_MP002XM0BUN7_25267607_2_v1.jpg,демисезон,полиуретан,натуральная замша,коричневый,
images_shoes\image_2_MP002XM0BUN7_25267608_3_v1.jpg,демисезон,полиуретан,натуральная замша,коричневый,
images_shoes\image_3_MP002XM0BUN7_25267609_4_v1.jpg,демисезон,полиуретан,натуральная замша,коричневый,
images_shoes\image_4_MP002XM0BUN7_25267610_5_v1.jpg,демисезон,полиуретан,натуральная замша,коричневый,
images_shoes\image_5_MP002XM0BUN7_25267611_6_v1.jpg,демисезон,полиуретан,натуральная замша,коричневый,
images_shoes\image_0_MP002XM083BU_16746068_1_v2.jpg,мульти,резина,натуральный спилок,коричневый,
images_shoes\image_1_MP002XM083BU_16746069_2_v1.jpg,мульти,резина,натуральный спилок,коричневый,
images_shoes\image_2_MP002XM083BU_16746070_3_v1.jpg,мульти,резина,натуральный спилок,коричневый,
images_shoes\image_3_MP002XM083BU_16746071_4_v1.jpg,мульти,резина,натуральный спилок,коричневый,
images_shoes\image_4_MP002XM083BU_16746072_5_v1.jpg,мульти,резина,натуральный спилок,коричневый,
images_shoes\image_0_MP002XM091MB_18490348_1_v1.jpg,зима,термоэластопласт,"натуральная кожа, спилок",синий,
images_shoes\image_1_MP002XM091MB_18490349_2_v1.jpg,зима,термоэластопласт,"натуральная кожа, спилок",синий,
images_shoes\image_2_MP002XM091MB_18490350_3_v1.jpg,зима,термоэластопласт,"натуральная кожа, спилок",синий,
images_shoes\image_3_MP002XM091MB_18490351_4_v1.jpg,зима,термоэластопласт,"натуральная кожа, спилок",синий,
images_shoes\image_4_MP002XM091MB_18490352_5_v1.jpg,зима,термоэластопласт,"натуральная кожа, спилок",синий,
images_shoes\image_0_MP002XM0BUHI_24902895_1_v2_2x.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_1_MP002XM0BUHI_24902903_2_v2_2x.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_2_MP002XM0BUHI_24902910_3_v2_2x.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_3_MP002XM0BUHI_24902916_4_v2_2x.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_4_MP002XM0BUHI_24902923_5_v2_2x.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_5_MP002XM0BUHI_24902930_6_v2_2x.jpg,демисезон,этиленвинилацетат,натуральная кожа,черный,
images_shoes\image_0_MP002XM0VKG4_22119112_1_v2_2x.jpeg,мульти,этиленвинилацетат,"текстиль, натуральный спилок",черный,
